feature,importance
ESTCHL_STACORR,0.37318335328069324
PRESSURE,0.12063924833612506
ESTCHL_CRUISECORR,0.10891704644881105
DEPTH,0.10595059983545395
LAT_DEC,0.07942038373275118
SPAR,0.05353095712536189
PAR,0.05310399906665198
XMISS,0.03106982317047052
LON_DEC,0.026944676018927895
BAT,0.021724454024978433
STA,0.011698598985398117
LINE,0.009173024069403167
CHL_A,0.002374898559416694
PHAEO,0.0022689373455566982
