feature,importance
PRESSURE,0.369870924182268
DEPTH,0.16115721966299923
ESTCHL_STACORR,0.11767029445093635
ESTCHL_CRUISECORR,0.06614330227724538
LAT_DEC,0.051131489944321824
PAR,0.04892137310275038
SPAR,0.03939567143080968
LINE,0.03811079902509116
LON_DEC,0.03017566778528567
XMISS,0.025741045716395725
STA,0.024039975197396868
BAT,0.020183521589732023
PHAEO,0.003997371416444357
CHL_A,0.003461344218323281
